ID,Date,Game,Earnings,Players,Tournaments
5511,2019-09-01,WarCraft III,20459.6,12,3
5512,2019-09-01,Dead or Alive 6,16760.0,15,2
5513,2019-09-01,RaceRoom Racing Experience,16450.0,17,2
5514,2019-09-01,Street Fighter V,15000.0,8,1
5515,2019-09-01,CrossFire,13110.0,40,1
5516,2019-09-01,Magic: The Gathering Arena,12000.0,22,3
5517,2019-09-01,Age of Empires II,11555.0,29,10
5518,2019-09-01,Gran Turismo Sport,10080.0,10,1
5519,2019-09-01,Super Smash Bros. Melee,8559.05,50,12
5520,2019-09-01,Call of Duty: Blackout,5000.0,4,1
5521,2019-09-01,Rocket League,4597.67,28,6
5522,2019-09-01,Dragon Ball FighterZ,4245.8,27,5
5523,2019-09-01,Samurai Shodown (2019),3164.45,17,4
5524,2019-09-01,Soul Calibur VI,3087.3,9,3
5525,2019-09-01,Under Night In-Birth EXE: Late[st],2760.0,8,1
5526,2019-09-01,Guilty Gear Xrd REV 2,2540.0,11,2
5527,2019-09-01,Dota Underlords,2481.3,20,6
5528,2019-09-01,Lichess,2200.0,14,4
5529,2019-09-01,FIFA 20,2054.62,3,4
5530,2019-09-01,Project Cars 2,2000.0,9,4
5531,2019-09-01,BlazBlue: Cross Tag Battle,1930.0,11,2
5532,2019-09-01,Chess.com,1402.0,8,1
5533,2019-09-01,Clash of Clans,1330.0,5,1
5534,2019-09-01,BlazBlue: Central Fiction,1320.0,8,1
5535,2019-09-01,Brawl Stars,1200.0,9,1
5536,2019-09-01,rFactor 2,1130.0,3,2
5537,2019-09-01,TrackMania 2: Stadium,1102.77,10,4
5538,2019-09-01,Melty Blood: Actress Again Current Code,740.0,8,1
5539,2019-09-01,Skullgirls 2nd Encore,630.0,3,1
5540,2019-09-01,Ultimate Marvel vs. Capcom 3,600.0,4,2
5541,2019-09-01,Artifact,562.0,6,3
5542,2019-09-01,Guilty Gear XX Accent Core Plus R,500.0,3,1
5543,2019-09-01,Sailor Moon S,450.0,4,2
5544,2019-09-01,Million Arthur: Arcana Blood,420.0,3,1
5545,2019-09-01,Dengeki Bunko: Fighting Climax Ignition,410.0,3,1
5546,2019-09-01,Koihime Enbu,330.0,3,1
5547,2019-09-01,Persona 4 Arena Ultimax,260.0,3,1
5548,2019-09-01,Kill la Kill the Game: IF,230.0,3,1
5549,2019-09-01,Acceleration of SUGURI 2,210.0,3,1
5550,2019-09-01,Power Rangers: Battle for the Grid,200.0,3,1
5551,2019-09-01,Samurai Shodown V Special,190.0,3,1
5552,2019-09-01,Them's Fightin' Herds,190.0,3,1
5553,2019-09-01,Puyo Puyo Tetris,160.0,3,1
5554,2019-09-01,Ultra Street Fighter IV,160.0,3,1
5555,2019-09-01,Pokkén Tournament DX,130.0,2,1
5556,2019-09-01,Puyo Puyo Champions,110.0,3,1
5557,2019-10-01,Counter-Strike: Global Offensive,1449809.7,837,62
5558,2019-10-01,Auto Chess,1000000.0,32,1
5559,2019-10-01,Dota 2,860345.5,205,14
5560,2019-10-01,PLAYERUNKNOWNS BATTLEGROUNDS,824578.64,350,17
5561,2019-10-01,Clash of Clans,700000.0,40,1
5562,2019-10-01,Hearthstone,686500.0,170,4
5563,2019-10-01,Rainbow Six Siege,434784.42,397,17
5564,2019-10-01,Overwatch,381000.0,246,4
5565,2019-10-01,Arena of Valor,327220.0,40,1
5566,2019-10-01,Magic: The Gathering Arena,250000.0,8,1
5567,2019-10-01,Fortnite,176031.86,148,14
5568,2019-10-01,Teamfight Tactics,150250.0,16,1
5569,2019-10-01,Clash Royale,150000.0,24,1
5570,2019-10-01,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,144600.0,188,2
5571,2019-10-01,Super Smash Bros. Ultimate,118317.99,239,59
5572,2019-10-01,iRacing.com,112000.0,32,1
5573,2019-10-01,Big Buck Hunter Arcade,76200.0,3,1
5574,2019-10-01,Paladins,70000.0,40,2
5575,2019-10-01,Tekken 7,54784.86,63,16
5576,2019-10-01,WWE 2K20,50000.0,20,2
5577,2019-10-01,Brawlhalla,40500.0,74,10
5578,2019-10-01,Street Fighter V: Arcade Edition,39365.98,24,4
5579,2019-10-01,StarCraft II,38241.03,63,16
5580,2019-10-01,Mortal Kombat 11,35223.99,34,3
5581,2019-10-01,League of Legends,32083.0,36,3
5582,2019-10-01,Shadowverse,23985.79,8,1
5583,2019-10-01,WarCraft III,22374.2,17,4
5584,2019-10-01,Rocket League,22287.09,61,11
5585,2019-10-01,Super Smash Bros. Melee,21794.68,37,6
5586,2019-10-01,Free Fire,19074.76,3,2
5587,2019-10-01,Heroes of the Storm,18946.74,50,2
5588,2019-10-01,FIFA 20,15631.16,13,9
5589,2019-10-01,Dead or Alive 6,15470.0,24,4
5590,2019-10-01,Dead By Daylight,15000.0,15,3
5591,2019-10-01,Farming Simulator 19,13349.23,24,1
5592,2019-10-01,StarCraft: Brood War,11326.35,12,2
5593,2019-10-01,Battalion 1944,11041.74,15,1
5594,2019-10-01,Call of Duty: Modern Warfare,10000.0,6,1
5595,2019-10-01,Tetris,10000.0,16,1
5596,2019-10-01,Samurai Shodown (2019),8865.98,11,2
5597,2019-10-01,rFactor 2,7770.0,8,1
5598,2019-10-01,King of Fighters XIV,7685.98,8,1
5599,2019-10-01,Ring of Elysium,6000.0,5,1
5600,2019-10-01,Dragon Ball FighterZ,5866.98,13,3
5601,2019-10-01,Age of Empires,5535.0,14,4
5602,2019-10-01,Age of Empires II,5459.99,67,14
5603,2019-10-01,Under Night In-Birth EXE: Late[st],2960.0,11,2
5604,2019-10-01,Project Cars 2,2000.0,2,2
5605,2019-10-01,TrackMania 2: Stadium,1651.8,19,7
5606,2019-10-01,Soul Calibur VI,1460.0,11,2
5607,2019-10-01,Chess.com,1400.0,10,1
5608,2019-10-01,BlazBlue: Cross Tag Battle,1130.0,11,2
5609,2019-10-01,Guilty Gear Xrd REV 2,1128.8,6,2
5610,2019-10-01,Lichess,1100.0,8,2
5611,2019-10-01,Melty Blood: Actress Again Current Code,1040.0,8,1
5612,2019-10-01,Dota Underlords,1027.46,15,6
5613,2019-10-01,Dengeki Bunko: Fighting Climax Ignition,590.0,8,1
5614,2019-10-01,Assetto Corsa,536.8,4,3
5615,2019-10-01,Street Fighter III: 3rd Strike,520.0,3,1
5616,2019-10-01,Artifact,397.7,10,6
5617,2019-10-01,Super Street Fighter II Turbo,350.0,3,1
5618,2019-10-01,Ultra Street Fighter IV,320.0,3,1
5619,2019-10-01,Vampire Savior,280.0,3,1
5620,2019-10-01,RaceRoom Racing Experience,220.0,3,1
5621,2019-10-01,Team Fortress 2,210.0,14,1
5622,2019-10-01,Tekken 5: Dark Resurrection,210.0,4,1
5623,2019-10-01,Capcom vs. SNK 2,190.0,3,1
5624,2019-10-01,Project M,182.82,3,1
5625,2019-10-01,Street Fighter Alpha 2,170.0,3,1
5626,2019-10-01,Virtua Fighter 5 Final Showdown,160.0,4,1
5627,2019-11-01,PLAYERUNKNOWNS BATTLEGROUNDS,4179324.0,264,5
5628,2019-11-01,League of Legends,2386031.6,263,7
5629,2019-11-01,Counter-Strike: Global Offensive,1970036.98,1024,70
5630,2019-11-01,Dota 2,1546865.42,235,17
5631,2019-11-01,Fortnite,1041425.0,419,19
5632,2019-11-01,StarCraft II,807598.62,94,20
5633,2019-11-01,Hearthstone,800000.0,23,2
5634,2019-11-01,Rocket League,652165.72,179,11
5635,2019-11-01,Arena of Valor,500000.0,42,1
5636,2019-11-01,Magic: The Gathering Arena,500000.0,32,1
5637,2019-11-01,FIFA 20,403660.1,114,6
5638,2019-11-01,Free Fire,388441.87,64,2
5639,2019-11-01,Rainbow Six Siege,341299.0,95,4
5640,2019-11-01,World of WarCraft,330000.0,32,1
5641,2019-11-01,Paladins,300000.0,41,1
5642,2019-11-01,Forza Motorsport 7,230000.0,24,1
5643,2019-11-01,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,174583.25,118,3
5644,2019-11-01,Overwatch,133470.0,116,3
5645,2019-11-01,Brawlhalla,122000.0,45,3
5646,2019-11-01,Clash Royale,105000.0,35,1
5647,2019-11-01,WarCraft III,85930.0,12,2
5648,2019-11-01,StarCraft: Brood War,68240.0,16,1
5649,2019-11-01,Shadowverse,66907.56,24,3
5650,2019-11-01,iRacing.com,53420.0,20,4
5651,2019-11-01,Super Smash Bros. Ultimate,51093.89,206,63
5652,2019-11-01,Halo 3,50000.0,32,1
5653,2019-11-01,Halo: Reach,50000.0,16,1
5654,2019-11-01,Farming Simulator 19,39722.8,41,3
5655,2019-11-01,BlazBlue: Central Fiction,33000.0,8,1
5656,2019-11-01,BlazBlue: Cross Tag Battle,33000.0,8,1
5657,2019-11-01,Guilty Gear Xrd REV 2,33000.0,8,1
5658,2019-11-01,Tekken 7,32860.4,65,10
5659,2019-11-01,Super Smash Bros. Melee,29677.05,35,7
5660,2019-11-01,Soul Calibur VI,27085.8,21,3
5661,2019-11-01,RaceRoom Racing Experience,16990.0,6,2
5662,2019-11-01,rFactor 2,16500.0,20,2
5663,2019-11-01,Mortal Kombat 11,13743.28,22,4
5664,2019-11-01,Dragon Ball FighterZ,11782.73,27,4
5665,2019-11-01,Call of Duty: Modern Warfare,11000.0,11,3
5666,2019-11-01,Teamfight Tactics,10000.0,8,1
5667,2019-11-01,Assetto Corsa,9116.2,6,3
5668,2019-11-01,Team Fortress 2,8960.0,164,4
5669,2019-11-01,TrackMania 2: Stadium,8629.1,47,10
5670,2019-11-01,Dead or Alive 6,8184.0,4,1
5671,2019-11-01,Age of Empires II,3903.39,29,12
5672,2019-11-01,Street Fighter V: Arcade Edition,2532.9,14,3
5673,2019-11-01,Rivals of Aether,2210.0,9,2
5674,2019-11-01,Chess.com,1399.99,7,1
5675,2019-11-01,Lichess,1000.0,5,1
5676,2019-11-01,Age of Empires III,691.0,5,2
5677,2019-11-01,Artifact,601.0,13,7
5678,2019-11-01,Samurai Shodown (2019),599.52,6,2
5679,2019-11-01,Dota Underlords,360.75,4,6
5680,2019-11-01,Under Night In-Birth EXE: Late[st],110.58,3,1
5681,2019-11-01,Quake Champions,0.0,12,1
5682,2019-12-01,Fortnite,6535247.89,795,12
5683,2019-12-01,Counter-Strike: Global Offensive,3779775.08,1088,84
5684,2019-12-01,Arena of Valor,1520262.27,30,2
5685,2019-12-01,Shadowverse,1387727.29,24,1
5686,2019-12-01,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1204250.0,228,3
5687,2019-12-01,League of Legends,1021040.51,119,5
5688,2019-12-01,CrossFire,820000.0,19,1
5689,2019-12-01,Dota 2,760661.0,211,15
5690,2019-12-01,Magic: The Gathering Arena,750000.0,28,1
5691,2019-12-01,Rocket League,541677.92,53,7
5692,2019-12-01,F1 2019,500000.0,22,1
5693,2019-12-01,TEPPEN,456721.47,12,1
5694,2019-12-01,Clash Royale,400000.0,21,1
5695,2019-12-01,PLAYERUNKNOWNS BATTLEGROUNDS,395238.9,296,12
5696,2019-12-01,Street Fighter V: Arcade Edition,379950.0,39,3
5697,2019-12-01,Gears 5,360000.0,92,5
5698,2019-12-01,Call of Duty: Modern Warfare,327612.5,71,6
5699,2019-12-01,Tekken 7,263000.92,45,7
5700,2019-12-01,Rainbow Six Siege,225745.46,90,3
5701,2019-12-01,FIFA Online 4,198000.0,36,1
5702,2019-12-01,StarCraft II,112026.29,122,24
5703,2019-12-01,Hearthstone,75000.0,64,1
5704,2019-12-01,FIFA 20,54026.76,17,1
5705,2019-12-01,Apex Legends,50000.0,48,2
5706,2019-12-01,iRacing.com,38685.0,15,2
5707,2019-12-01,Battalion 1944,34036.31,31,2
5708,2019-12-01,Multigaming,33315.93,8,1
5709,2019-12-01,Super Smash Bros. Ultimate,27306.12,147,32
5710,2019-12-01,Overwatch,15000.0,12,1
5711,2019-12-01,Teamfight Tactics,11995.0,17,3
5712,2019-12-01,RaceRoom Racing Experience,11100.0,13,1
5713,2019-12-01,Heroes of the Storm,10856.07,10,1
5714,2019-12-01,Assetto Corsa,9086.4,3,1
5715,2019-12-01,Super Smash Bros. Melee,8945.95,30,6
5716,2019-12-01,Age of Empires II,5030.41,13,9
5717,2019-12-01,Gran Turismo Sport,4020.0,9,2
5718,2019-12-01,Ring of Elysium,4000.0,4,1
5719,2019-12-01,TrackMania 2: Stadium,3200.55,32,10
5720,2019-12-01,WarCraft III,2040.0,11,6
5721,2019-12-01,Chess.com,1800.0,12,2
5722,2019-12-01,Team Fortress 2,1126.0,27,1
5723,2019-12-01,Lichess,1100.0,8,2
5724,2019-12-01,Age of Empires III,1017.0,8,2
5725,2019-12-01,Age of Empires,600.0,2,2
5726,2019-12-01,Artifact,530.0,10,2
5727,2019-12-01,Dota Underlords,305.25,3,5
5728,2019-12-01,GRID (2019),218.75,3,1
5729,2019-12-01,Dragon Ball FighterZ,150.0,3,1
5730,2019-12-01,Shovel Knight Showdown,60.0,3,1
5731,2020-01-01,Dota 2,1414185.6,194,8
5732,2020-01-01,Arena of Valor,518760.0,10,1
5733,2020-01-01,Counter-Strike: Global Offensive,487734.12,473,33
